order_id,sku,quantity,arrival,deadline,service_class
D0612,SKU-C,12,358.33,478.33,standard
D0613,SKU-A,3,274.22,334.22,express
D0614,SKU-A,2,447.89,507.89,express
D0615,SKU-E,2,423.02,483.02,express
D0616,SKU-C,1,271.11,391.11,standard
D0617,SKU-B,1,269.07,389.07,standard
D0618,SKU-B,2,268.13,388.13,standard
D0619,SKU-C,5,259.48,379.48,standard
D0620,SKU-B,1,402.96,462.96,express
D0621,SKU-A,1,440.49,500.49,express
D0622,SKU-A,1,329.93,449.93,standard
D0623,SKU-A,5,338.95,398.95,express
D0624,SKU-A,1,376.22,496.22,standard
D0625,SKU-A,5,310.66,430.66,standard
D0626,SKU-A,12,425.43,545.43,standard
D0627,SKU-B,5,310.32,430.32,standard
D0628,SKU-A,1,342.33,402.33,express
D0629,SKU-C,1,404.74,524.74,standard
D0630,SKU-E,1,295.5,415.5,standard
D0631,SKU-C,5,268.53,388.53,standard
D0632,SKU-B,1,313.93,433.93,standard
D0633,SKU-C,5,291.26,411.26,standard
D0634,SKU-A,1,350.71,410.71,express
D0635,SKU-C,1,408.42,528.42,standard
D0636,SKU-D,3,312.94,432.94,standard
D0637,SKU-B,3,408.21,528.21,standard
D0638,SKU-E,2,309.5,429.5,standard
D0639,SKU-B,1,261.12,381.12,standard
D0640,SKU-D,1,321.94,441.94,standard
D0641,SKU-A,5,368.13,488.13,standard
D0642,SKU-D,3,291.12,411.12,standard
D0643,SKU-E,2,354.97,474.97,standard
D0644,SKU-A,8,448.01,508.01,express
D0645,SKU-A,1,426.29,546.29,standard
D0646,SKU-C,3,357.99,477.99,standard
D0647,SKU-E,5,408.93,528.93,standard
D0648,SKU-E,2,309.28,429.28,standard
D0649,SKU-D,2,364.88,484.88,standard
D0650,SKU-A,2,442.02,562.02,standard
